model,provider,variant,intervention,outcome,ate,rationale,log
luna,openai,forecaster-pre-can,Extreme weather predictions,inst_trust_mean,0.3,"The localized, practical extreme-weather framing should produce a small positive effect on proximal trust, with a corresponding decrease in distrust, but ceiling effects among Democrats and mixed partisan reception limit the sample-average shift. Distal beliefs, policy attitudes, and intentions should move less, while the real behavioral outcomes should be close to zero.",20260817-204211-7da464
luna,openai,forecaster-pre-can,Extreme weather predictions,belief_post,0.2,"The localized, practical extreme-weather framing should produce a small positive effect on proximal trust, with a corresponding decrease in distrust, but ceiling effects among Democrats and mixed partisan reception limit the sample-average shift. Distal beliefs, policy attitudes, and intentions should move less, while the real behavioral outcomes should be close to zero.",20260817-204211-7da464
luna,openai,forecaster-pre-can,Extreme weather predictions,concern_mean,0.3,"The localized, practical extreme-weather framing should produce a small positive effect on proximal trust, with a corresponding decrease in distrust, but ceiling effects among Democrats and mixed partisan reception limit the sample-average shift. Distal beliefs, policy attitudes, and intentions should move less, while the real behavioral outcomes should be close to zero.",20260817-204211-7da464
luna,openai,forecaster-pre-can,Extreme weather predictions,policy_general,0.2,"The localized, practical extreme-weather framing should produce a small positive effect on proximal trust, with a corresponding decrease in distrust, but ceiling effects among Democrats and mixed partisan reception limit the sample-average shift. Distal beliefs, policy attitudes, and intentions should move less, while the real behavioral outcomes should be close to zero.",20260817-204211-7da464
luna,openai,forecaster-pre-can,Extreme weather predictions,policy_specific_mean,0.2,"The localized, practical extreme-weather framing should produce a small positive effect on proximal trust, with a corresponding decrease in distrust, but ceiling effects among Democrats and mixed partisan reception limit the sample-average shift. Distal beliefs, policy attitudes, and intentions should move less, while the real behavioral outcomes should be close to zero.",20260817-204211-7da464
luna,openai,forecaster-pre-can,Extreme weather predictions,behavior_mean,0.1,"The localized, practical extreme-weather framing should produce a small positive effect on proximal trust, with a corresponding decrease in distrust, but ceiling effects among Democrats and mixed partisan reception limit the sample-average shift. Distal beliefs, policy attitudes, and intentions should move less, while the real behavioral outcomes should be close to zero.",20260817-204211-7da464
luna,openai,forecaster-pre-can,Extreme weather predictions,donation_ams,0.03,"The localized, practical extreme-weather framing should produce a small positive effect on proximal trust, with a corresponding decrease in distrust, but ceiling effects among Democrats and mixed partisan reception limit the sample-average shift. Distal beliefs, policy attitudes, and intentions should move less, while the real behavioral outcomes should be close to zero.",20260817-204211-7da464
luna,openai,forecaster-pre-can,Extreme weather predictions,newsletter_signup,0.001,"The localized, practical extreme-weather framing should produce a small positive effect on proximal trust, with a corresponding decrease in distrust, but ceiling effects among Democrats and mixed partisan reception limit the sample-average shift. Distal beliefs, policy attitudes, and intentions should move less, while the real behavioral outcomes should be close to zero.",20260817-204211-7da464
luna,openai,forecaster-pre-s7,Consensus,trust_multidimensional,0.55,"The accurate consensus and explanatory feedback should produce a small positive shift in proximal trust and climate-change belief, with the largest effect on the single trust item, but ceiling effects among Democrats and possible resistance among Republicans limit the sample-average impact. Effects should attenuate substantially for concern, policy attitudes, and especially behavioral outcomes. Real donations and newsletter signups are therefore expected to move only marginally, while distrust should decline modestly as trust rises.",20260817-204211-7da464
luna,openai,forecaster-pre-s7,Consensus,trust_post,0.75,"The accurate consensus and explanatory feedback should produce a small positive shift in proximal trust and climate-change belief, with the largest effect on the single trust item, but ceiling effects among Democrats and possible resistance among Republicans limit the sample-average impact. Effects should attenuate substantially for concern, policy attitudes, and especially behavioral outcomes. Real donations and newsletter signups are therefore expected to move only marginally, while distrust should decline modestly as trust rises.",20260817-204211-7da464
luna,openai,forecaster-pre-s7,Consensus,distrust_post,-0.45,"The accurate consensus and explanatory feedback should produce a small positive shift in proximal trust and climate-change belief, with the largest effect on the single trust item, but ceiling effects among Democrats and possible resistance among Republicans limit the sample-average impact. Effects should attenuate substantially for concern, policy attitudes, and especially behavioral outcomes. Real donations and newsletter signups are therefore expected to move only marginally, while distrust should decline modestly as trust rises.",20260817-204211-7da464
luna,openai,forecaster-pre-s7,Consensus,funding_perceptions,0.25,"The accurate consensus and explanatory feedback should produce a small positive shift in proximal trust and climate-change belief, with the largest effect on the single trust item, but ceiling effects among Democrats and possible resistance among Republicans limit the sample-average impact. Effects should attenuate substantially for concern, policy attitudes, and especially behavioral outcomes. Real donations and newsletter signups are therefore expected to move only marginally, while distrust should decline modestly as trust rises.",20260817-204211-7da464
luna,openai,forecaster-pre-s7,Consensus,policy_role_mean,0.18,"The accurate consensus and explanatory feedback should produce a small positive shift in proximal trust and climate-change belief, with the largest effect on the single trust item, but ceiling effects among Democrats and possible resistance among Republicans limit the sample-average impact. Effects should attenuate substantially for concern, policy attitudes, and especially behavioral outcomes. Real donations and newsletter signups are therefore expected to move only marginally, while distrust should decline modestly as trust rises.",20260817-204211-7da464
luna,openai,forecaster-pre-s7,Consensus,inst_trust_mean,0.12,"The accurate consensus and explanatory feedback should produce a small positive shift in proximal trust and climate-change belief, with the largest effect on the single trust item, but ceiling effects among Democrats and possible resistance among Republicans limit the sample-average impact. Effects should attenuate substantially for concern, policy attitudes, and especially behavioral outcomes. Real donations and newsletter signups are therefore expected to move only marginally, while distrust should decline modestly as trust rises.",20260817-204211-7da464
luna,openai,forecaster-pre-s7,Consensus,belief_post,0.65,"The accurate consensus and explanatory feedback should produce a small positive shift in proximal trust and climate-change belief, with the largest effect on the single trust item, but ceiling effects among Democrats and possible resistance among Republicans limit the sample-average impact. Effects should attenuate substantially for concern, policy attitudes, and especially behavioral outcomes. Real donations and newsletter signups are therefore expected to move only marginally, while distrust should decline modestly as trust rises.",20260817-204211-7da464
luna,openai,forecaster-pre-s7,Consensus,concern_mean,0.15,"The accurate consensus and explanatory feedback should produce a small positive shift in proximal trust and climate-change belief, with the largest effect on the single trust item, but ceiling effects among Democrats and possible resistance among Republicans limit the sample-average impact. Effects should attenuate substantially for concern, policy attitudes, and especially behavioral outcomes. Real donations and newsletter signups are therefore expected to move only marginally, while distrust should decline modestly as trust rises.",20260817-204211-7da464
luna,openai,forecaster-pre-s7,Consensus,policy_general,0.16,"The accurate consensus and explanatory feedback should produce a small positive shift in proximal trust and climate-change belief, with the largest effect on the single trust item, but ceiling effects among Democrats and possible resistance among Republicans limit the sample-average impact. Effects should attenuate substantially for concern, policy attitudes, and especially behavioral outcomes. Real donations and newsletter signups are therefore expected to move only marginally, while distrust should decline modestly as trust rises.",20260817-204211-7da464
luna,openai,forecaster-pre-s7,Consensus,policy_specific_mean,0.12,"The accurate consensus and explanatory feedback should produce a small positive shift in proximal trust and climate-change belief, with the largest effect on the single trust item, but ceiling effects among Democrats and possible resistance among Republicans limit the sample-average impact. Effects should attenuate substantially for concern, policy attitudes, and especially behavioral outcomes. Real donations and newsletter signups are therefore expected to move only marginally, while distrust should decline modestly as trust rises.",20260817-204211-7da464
luna,openai,forecaster-pre-s7,Consensus,behavior_mean,0.08,"The accurate consensus and explanatory feedback should produce a small positive shift in proximal trust and climate-change belief, with the largest effect on the single trust item, but ceiling effects among Democrats and possible resistance among Republicans limit the sample-average impact. Effects should attenuate substantially for concern, policy attitudes, and especially behavioral outcomes. Real donations and newsletter signups are therefore expected to move only marginally, while distrust should decline modestly as trust rises.",20260817-204211-7da464
luna,openai,forecaster-pre-s7,Consensus,donation_ams,0.025,"The accurate consensus and explanatory feedback should produce a small positive shift in proximal trust and climate-change belief, with the largest effect on the single trust item, but ceiling effects among Democrats and possible resistance among Republicans limit the sample-average impact. Effects should attenuate substantially for concern, policy attitudes, and especially behavioral outcomes. Real donations and newsletter signups are therefore expected to move only marginally, while distrust should decline modestly as trust rises.",20260817-204211-7da464
luna,openai,forecaster-pre-s7,Consensus,newsletter_signup,0.0015,"The accurate consensus and explanatory feedback should produce a small positive shift in proximal trust and climate-change belief, with the largest effect on the single trust item, but ceiling effects among Democrats and possible resistance among Republicans limit the sample-average impact. Effects should attenuate substantially for concern, policy attitudes, and especially behavioral outcomes. Real donations and newsletter signups are therefore expected to move only marginally, while distrust should decline modestly as trust rises.",20260817-204211-7da464
luna,openai,forecaster-pre-s7,Extreme weather predictions,trust_multidimensional,0.6,"The personalized, locally relevant focus on useful forecasting and warning systems should produce a small positive shift in proximal trust, with somewhat smaller spillovers to climate beliefs and institutional trust. Political heterogeneity and ceiling effects among Democrats limit average attitudinal effects, while policy and behavior outcomes should be close to zero. The real signup and donation behaviors are expected to show only negligible increases.",20260817-204211-7da464
luna,openai,forecaster-pre-s7,Extreme weather predictions,trust_post,0.7,"The personalized, locally relevant focus on useful forecasting and warning systems should produce a small positive shift in proximal trust, with somewhat smaller spillovers to climate beliefs and institutional trust. Political heterogeneity and ceiling effects among Democrats limit average attitudinal effects, while policy and behavior outcomes should be close to zero. The real signup and donation behaviors are expected to show only negligible increases.",20260817-204211-7da464
luna,openai,forecaster-pre-s7,Extreme weather predictions,distrust_post,-0.5,"The personalized, locally relevant focus on useful forecasting and warning systems should produce a small positive shift in proximal trust, with somewhat smaller spillovers to climate beliefs and institutional trust. Political heterogeneity and ceiling effects among Democrats limit average attitudinal effects, while policy and behavior outcomes should be close to zero. The real signup and donation behaviors are expected to show only negligible increases.",20260817-204211-7da464
luna,openai,forecaster-pre-s7,Extreme weather predictions,funding_perceptions,0.4,"The personalized, locally relevant focus on useful forecasting and warning systems should produce a small positive shift in proximal trust, with somewhat smaller spillovers to climate beliefs and institutional trust. Political heterogeneity and ceiling effects among Democrats limit average attitudinal effects, while policy and behavior outcomes should be close to zero. The real signup and donation behaviors are expected to show only negligible increases.",20260817-204211-7da464
luna,openai,forecaster-pre-s7,Extreme weather predictions,policy_role_mean,0.3,"The personalized, locally relevant focus on useful forecasting and warning systems should produce a small positive shift in proximal trust, with somewhat smaller spillovers to climate beliefs and institutional trust. Political heterogeneity and ceiling effects among Democrats limit average attitudinal effects, while policy and behavior outcomes should be close to zero. The real signup and donation behaviors are expected to show only negligible increases.",20260817-204211-7da464
luna,openai,forecaster-pre-s7,Extreme weather predictions,inst_trust_mean,0.3,"The personalized, locally relevant focus on useful forecasting and warning systems should produce a small positive shift in proximal trust, with somewhat smaller spillovers to climate beliefs and institutional trust. Political heterogeneity and ceiling effects among Democrats limit average attitudinal effects, while policy and behavior outcomes should be close to zero. The real signup and donation behaviors are expected to show only negligible increases.",20260817-204211-7da464
luna,openai,forecaster-pre-s7,Extreme weather predictions,belief_post,0.3,"The personalized, locally relevant focus on useful forecasting and warning systems should produce a small positive shift in proximal trust, with somewhat smaller spillovers to climate beliefs and institutional trust. Political heterogeneity and ceiling effects among Democrats limit average attitudinal effects, while policy and behavior outcomes should be close to zero. The real signup and donation behaviors are expected to show only negligible increases.",20260817-204211-7da464
luna,openai,forecaster-pre-s7,Extreme weather predictions,concern_mean,0.4,"The personalized, locally relevant focus on useful forecasting and warning systems should produce a small positive shift in proximal trust, with somewhat smaller spillovers to climate beliefs and institutional trust. Political heterogeneity and ceiling effects among Democrats limit average attitudinal effects, while policy and behavior outcomes should be close to zero. The real signup and donation behaviors are expected to show only negligible increases.",20260817-204211-7da464
luna,openai,forecaster-pre-s7,Extreme weather predictions,policy_general,0.2,"The personalized, locally relevant focus on useful forecasting and warning systems should produce a small positive shift in proximal trust, with somewhat smaller spillovers to climate beliefs and institutional trust. Political heterogeneity and ceiling effects among Democrats limit average attitudinal effects, while policy and behavior outcomes should be close to zero. The real signup and donation behaviors are expected to show only negligible increases.",20260817-204211-7da464
luna,openai,forecaster-pre-s7,Extreme weather predictions,policy_specific_mean,0.2,"The personalized, locally relevant focus on useful forecasting and warning systems should produce a small positive shift in proximal trust, with somewhat smaller spillovers to climate beliefs and institutional trust. Political heterogeneity and ceiling effects among Democrats limit average attitudinal effects, while policy and behavior outcomes should be close to zero. The real signup and donation behaviors are expected to show only negligible increases.",20260817-204211-7da464
luna,openai,forecaster-pre-s7,Extreme weather predictions,behavior_mean,0.1,"The personalized, locally relevant focus on useful forecasting and warning systems should produce a small positive shift in proximal trust, with somewhat smaller spillovers to climate beliefs and institutional trust. Political heterogeneity and ceiling effects among Democrats limit average attitudinal effects, while policy and behavior outcomes should be close to zero. The real signup and donation behaviors are expected to show only negligible increases.",20260817-204211-7da464
luna,openai,forecaster-pre-s7,Extreme weather predictions,donation_ams,0.03,"The personalized, locally relevant focus on useful forecasting and warning systems should produce a small positive shift in proximal trust, with somewhat smaller spillovers to climate beliefs and institutional trust. Political heterogeneity and ceiling effects among Democrats limit average attitudinal effects, while policy and behavior outcomes should be close to zero. The real signup and donation behaviors are expected to show only negligible increases.",20260817-204211-7da464
luna,openai,forecaster-pre-s7,Extreme weather predictions,newsletter_signup,0.002,"The personalized, locally relevant focus on useful forecasting and warning systems should produce a small positive shift in proximal trust, with somewhat smaller spillovers to climate beliefs and institutional trust. Political heterogeneity and ceiling effects among Democrats limit average attitudinal effects, while policy and behavior outcomes should be close to zero. The real signup and donation behaviors are expected to show only negligible increases.",20260817-204211-7da464
luna,openai,forecaster-post-can,Consensus,trust_multidimensional,1.4,"The intervention provides unusually concrete, credible consensus feedback, so it should produce a small positive shift in proximal beliefs and trust, with the largest effects on trust and perceived accuracy of human-caused climate change. Political polarization, ceiling effects among Democrats, and possible reactance among conservatives should substantially attenuate average effects on policy attitudes and concern. Real behavioral outcomes are expected to move only trivially.",20260817-204211-7da464
luna,openai,forecaster-post-can,Consensus,trust_post,1.7,"The intervention provides unusually concrete, credible consensus feedback, so it should produce a small positive shift in proximal beliefs and trust, with the largest effects on trust and perceived accuracy of human-caused climate change. Political polarization, ceiling effects among Democrats, and possible reactance among conservatives should substantially attenuate average effects on policy attitudes and concern. Real behavioral outcomes are expected to move only trivially.",20260817-204211-7da464
luna,openai,forecaster-post-can,Consensus,distrust_post,-1.2,"The intervention provides unusually concrete, credible consensus feedback, so it should produce a small positive shift in proximal beliefs and trust, with the largest effects on trust and perceived accuracy of human-caused climate change. Political polarization, ceiling effects among Democrats, and possible reactance among conservatives should substantially attenuate average effects on policy attitudes and concern. Real behavioral outcomes are expected to move only trivially.",20260817-204211-7da464
luna,openai,forecaster-post-can,Consensus,funding_perceptions,0.8,"The intervention provides unusually concrete, credible consensus feedback, so it should produce a small positive shift in proximal beliefs and trust, with the largest effects on trust and perceived accuracy of human-caused climate change. Political polarization, ceiling effects among Democrats, and possible reactance among conservatives should substantially attenuate average effects on policy attitudes and concern. Real behavioral outcomes are expected to move only trivially.",20260817-204211-7da464
luna,openai,forecaster-post-can,Consensus,policy_role_mean,0.4,"The intervention provides unusually concrete, credible consensus feedback, so it should produce a small positive shift in proximal beliefs and trust, with the largest effects on trust and perceived accuracy of human-caused climate change. Political polarization, ceiling effects among Democrats, and possible reactance among conservatives should substantially attenuate average effects on policy attitudes and concern. Real behavioral outcomes are expected to move only trivially.",20260817-204211-7da464
luna,openai,forecaster-post-can,Consensus,inst_trust_mean,0.3,"The intervention provides unusually concrete, credible consensus feedback, so it should produce a small positive shift in proximal beliefs and trust, with the largest effects on trust and perceived accuracy of human-caused climate change. Political polarization, ceiling effects among Democrats, and possible reactance among conservatives should substantially attenuate average effects on policy attitudes and concern. Real behavioral outcomes are expected to move only trivially.",20260817-204211-7da464
luna,openai,forecaster-post-can,Consensus,belief_post,1.5,"The intervention provides unusually concrete, credible consensus feedback, so it should produce a small positive shift in proximal beliefs and trust, with the largest effects on trust and perceived accuracy of human-caused climate change. Political polarization, ceiling effects among Democrats, and possible reactance among conservatives should substantially attenuate average effects on policy attitudes and concern. Real behavioral outcomes are expected to move only trivially.",20260817-204211-7da464
luna,openai,forecaster-post-can,Consensus,concern_mean,0.7,"The intervention provides unusually concrete, credible consensus feedback, so it should produce a small positive shift in proximal beliefs and trust, with the largest effects on trust and perceived accuracy of human-caused climate change. Political polarization, ceiling effects among Democrats, and possible reactance among conservatives should substantially attenuate average effects on policy attitudes and concern. Real behavioral outcomes are expected to move only trivially.",20260817-204211-7da464
luna,openai,forecaster-post-can,Consensus,policy_general,0.5,"The intervention provides unusually concrete, credible consensus feedback, so it should produce a small positive shift in proximal beliefs and trust, with the largest effects on trust and perceived accuracy of human-caused climate change. Political polarization, ceiling effects among Democrats, and possible reactance among conservatives should substantially attenuate average effects on policy attitudes and concern. Real behavioral outcomes are expected to move only trivially.",20260817-204211-7da464
luna,openai,forecaster-post-can,Consensus,policy_specific_mean,0.4,"The intervention provides unusually concrete, credible consensus feedback, so it should produce a small positive shift in proximal beliefs and trust, with the largest effects on trust and perceived accuracy of human-caused climate change. Political polarization, ceiling effects among Democrats, and possible reactance among conservatives should substantially attenuate average effects on policy attitudes and concern. Real behavioral outcomes are expected to move only trivially.",20260817-204211-7da464
luna,openai,forecaster-post-can,Consensus,behavior_mean,0.2,"The intervention provides unusually concrete, credible consensus feedback, so it should produce a small positive shift in proximal beliefs and trust, with the largest effects on trust and perceived accuracy of human-caused climate change. Political polarization, ceiling effects among Democrats, and possible reactance among conservatives should substantially attenuate average effects on policy attitudes and concern. Real behavioral outcomes are expected to move only trivially.",20260817-204211-7da464
luna,openai,forecaster-post-can,Consensus,donation_ams,0.03,"The intervention provides unusually concrete, credible consensus feedback, so it should produce a small positive shift in proximal beliefs and trust, with the largest effects on trust and perceived accuracy of human-caused climate change. Political polarization, ceiling effects among Democrats, and possible reactance among conservatives should substantially attenuate average effects on policy attitudes and concern. Real behavioral outcomes are expected to move only trivially.",20260817-204211-7da464
luna,openai,forecaster-post-can,Consensus,newsletter_signup,0.002,"The intervention provides unusually concrete, credible consensus feedback, so it should produce a small positive shift in proximal beliefs and trust, with the largest effects on trust and perceived accuracy of human-caused climate change. Political polarization, ceiling effects among Democrats, and possible reactance among conservatives should substantially attenuate average effects on policy attitudes and concern. Real behavioral outcomes are expected to move only trivially.",20260817-204211-7da464
luna,openai,forecaster-post-can,Extreme weather predictions,trust_multidimensional,1.2,"The locally relevant, state-adaptive examples should produce a small positive effect on proximal trust, especially by highlighting scientists’ competence and public-service benefits, with a correspondingly modest decline in distrust. Effects on climate beliefs, concern, policy attitudes, and intentions should be weaker because the message emphasizes forecasting and preparedness rather than contentious mitigation. Real donations and newsletter subscriptions are likely to move only negligibly after a single exposure.",20260817-204211-7da464
luna,openai,forecaster-post-can,Extreme weather predictions,trust_post,1.3,"The locally relevant, state-adaptive examples should produce a small positive effect on proximal trust, especially by highlighting scientists’ competence and public-service benefits, with a correspondingly modest decline in distrust. Effects on climate beliefs, concern, policy attitudes, and intentions should be weaker because the message emphasizes forecasting and preparedness rather than contentious mitigation. Real donations and newsletter subscriptions are likely to move only negligibly after a single exposure.",20260817-204211-7da464
luna,openai,forecaster-post-can,Extreme weather predictions,distrust_post,-0.9,"The locally relevant, state-adaptive examples should produce a small positive effect on proximal trust, especially by highlighting scientists’ competence and public-service benefits, with a correspondingly modest decline in distrust. Effects on climate beliefs, concern, policy attitudes, and intentions should be weaker because the message emphasizes forecasting and preparedness rather than contentious mitigation. Real donations and newsletter subscriptions are likely to move only negligibly after a single exposure.",20260817-204211-7da464
luna,openai,forecaster-post-can,Extreme weather predictions,funding_perceptions,0.7,"The locally relevant, state-adaptive examples should produce a small positive effect on proximal trust, especially by highlighting scientists’ competence and public-service benefits, with a correspondingly modest decline in distrust. Effects on climate beliefs, concern, policy attitudes, and intentions should be weaker because the message emphasizes forecasting and preparedness rather than contentious mitigation. Real donations and newsletter subscriptions are likely to move only negligibly after a single exposure.",20260817-204211-7da464
luna,openai,forecaster-post-can,Extreme weather predictions,policy_role_mean,0.5,"The locally relevant, state-adaptive examples should produce a small positive effect on proximal trust, especially by highlighting scientists’ competence and public-service benefits, with a correspondingly modest decline in distrust. Effects on climate beliefs, concern, policy attitudes, and intentions should be weaker because the message emphasizes forecasting and preparedness rather than contentious mitigation. Real donations and newsletter subscriptions are likely to move only negligibly after a single exposure.",20260817-204211-7da464
luna,openai,forecaster-post-can,Extreme weather predictions,inst_trust_mean,0.4,"The locally relevant, state-adaptive examples should produce a small positive effect on proximal trust, especially by highlighting scientists’ competence and public-service benefits, with a correspondingly modest decline in distrust. Effects on climate beliefs, concern, policy attitudes, and intentions should be weaker because the message emphasizes forecasting and preparedness rather than contentious mitigation. Real donations and newsletter subscriptions are likely to move only negligibly after a single exposure.",20260817-204211-7da464
luna,openai,forecaster-post-can,Extreme weather predictions,belief_post,0.4,"The locally relevant, state-adaptive examples should produce a small positive effect on proximal trust, especially by highlighting scientists’ competence and public-service benefits, with a correspondingly modest decline in distrust. Effects on climate beliefs, concern, policy attitudes, and intentions should be weaker because the message emphasizes forecasting and preparedness rather than contentious mitigation. Real donations and newsletter subscriptions are likely to move only negligibly after a single exposure.",20260817-204211-7da464
luna,openai,forecaster-post-can,Extreme weather predictions,concern_mean,0.5,"The locally relevant, state-adaptive examples should produce a small positive effect on proximal trust, especially by highlighting scientists’ competence and public-service benefits, with a correspondingly modest decline in distrust. Effects on climate beliefs, concern, policy attitudes, and intentions should be weaker because the message emphasizes forecasting and preparedness rather than contentious mitigation. Real donations and newsletter subscriptions are likely to move only negligibly after a single exposure.",20260817-204211-7da464
